"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd2[【边界】无效边界值相加，给出提示信息1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入为空，给出提示信息2]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd2[【边界】无效边界值相加，给出提示信息4]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【边界】有效边界值相加，结果计算正确3]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【正向】2个浮点数相加，结果计算正确]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入英文，给出提示信息1]",""
"failed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【正向】2个整数相加，结果计算正确]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【边界】有效边界值相加，结果计算正确2]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[-0.01--0.02-0.5]",""
"broken","Fri Aug 26 15:09:25 CST 2022","Fri Aug 26 15:09:25 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[文-9.3-TypeError]",""
"broken","Fri Aug 26 15:09:23 CST 2022","Fri Aug 26 15:09:23 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[4-字-TypeError]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd2[【边界】无效边界值相加，给出提示信息3]",""
"broken","Fri Aug 26 15:09:28 CST 2022","Fri Aug 26 15:09:28 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[nu-0.2-TypeError]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入为空，给出提示信息1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","0","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【边界】有效边界值相加，结果计算正确4]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入空格，给出提示信息2]",""
